CCLE_name	Chromosome	Start	End	Num_Probes	Segment_Mean
A375_SKIN	1	61735	25596176	14175	0.106
A375_SKIN	1	25596177	25646966	24	-0.8129
A375_SKIN	1	25646967	31622547	3013	0.1081
A375_SKIN	1	31622548	31625367	2	-1.8603
A375_SKIN	1	31625368	51973887	11269	0.1154
A375_SKIN	1	51973888	52192195	84	0.5408
A375_SKIN	1	52192196	55723732	2145	0.1359
A375_SKIN	1	55723733	55726833	6	0.9065
A375_SKIN	1	55726834	60156594	3573	0.1571
A375_SKIN	1	60156595	60266384	80	0.5068
A375_SKIN	1	60266385	62439730	1562	0.1607
A375_SKIN	1	62439731	62442465	11	0.8725
A375_SKIN	1	62442466	72770039	7123	0.1865
A375_SKIN	1	72770040	72812172	45	0.715
A375_SKIN	1	72812173	78963469	3873	0.1918
A375_SKIN	1	78963470	81970766	2021	-0.3564
A375_SKIN	1	81970767	82172158	165	0.235
A375_SKIN	1	82172159	95113914	8364	-0.3531
A375_SKIN	1	95113915	98350318	2098	0.2017
A375_SKIN	1	98350319	98481124	63	0.5661
A375_SKIN	1	98481125	104106234	3475	0.14
A375_SKIN	1	104106235	104163643	28	0.5727
A375_SKIN	1	104163644	110230244	3634	0.1536
A375_SKIN	1	110230245	110234482	9	-0.5969
A375_SKIN	1	110234483	111377569	850	0.1213
A375_SKIN	1	111377570	111382818	21	0.7128
A375_SKIN	1	111382819	112693145	1093	0.121
A375_SKIN	1	112693146	112697227	22	-1.0549
A375_SKIN	1	112697228	112724053	49	0.056
A375_SKIN	1	112724054	112725171	2	2.0467
A375_SKIN	1	112725172	145156904	5359	0.1698
A375_SKIN	1	145156905	148580449	933	0.5313
A375_SKIN	1	148580450	148899981	27	0.1547
A375_SKIN	1	148899982	149547049	182	0.7142
A375_SKIN	1	149547050	149617469	4	1.8866
A375_SKIN	1	149617470	161513407	7012	0.4406
A375_SKIN	1	161513408	161618839	26	0.0836
A375_SKIN	1	161618840	161620471	6	-1.1469
A375_SKIN	1	161620472	161648429	17	-0.1092
A375_SKIN	1	161648430	174252702	9282	0.4797
A375_SKIN	1	174252703	174291247	16	0.0566
A375_SKIN	1	174291248	174796627	251	0.4711
A375_SKIN	1	174796628	174801847	15	-0.8229
A375_SKIN	1	174801848	188678563	9314	0.474
A375_SKIN	1	188678564	188681874	2	-1.9019
A375_SKIN	1	188681875	196017054	4921	0.4924
A375_SKIN	1	196017055	196721361	431	0.7927
A375_SKIN	1	196721362	196816260	96	1.8537
A375_SKIN	1	196816261	197379559	301	0.7819
A375_SKIN	1	197379560	199111473	1081	0.4824
A375_SKIN	1	199111474	199114039	7	1.574
A375_SKIN	1	199114040	206311877	4702	0.4454
A375_SKIN	1	206311878	206413290	4	-1.5566
A375_SKIN	1	206413291	210076337	2730	0.4586
A375_SKIN	1	210076338	210090023	4	-1.2397
A375_SKIN	1	210090024	222370751	8620	0.4942
A375_SKIN	1	222370752	222379569	2	-2.2964
A375_SKIN	1	222379570	226496436	2421	0.4751
A375_SKIN	1	226496437	226772769	193	0.0856
A375_SKIN	1	226772770	240392877	9963	0.5282
A375_SKIN	1	240392878	240395122	6	1.5561
A375_SKIN	1	240395123	248743320	5757	0.4644
A375_SKIN	1	248743321	248813926	38	-0.496
A375_SKIN	1	248813927	249224388	140	0.5733
A375_SKIN	2	12784	34695192	24119	0.1616
A375_SKIN	2	34695193	34737110	46	-0.3583
A375_SKIN	2	34737111	35967254	875	0.1646
A375_SKIN	2	35967255	35987931	9	1.2783
A375_SKIN	2	35987932	38020279	1624	0.2156
A375_SKIN	2	38020280	38021993	3	-1.142
A375_SKIN	2	38021994	52754644	10536	0.1709
A375_SKIN	2	52754645	52784745	36	-0.8724
A375_SKIN	2	52784746	76147587	15083	0.148
A375_SKIN	2	76147588	76204291	29	0.5745
A375_SKIN	2	76204292	87513833	7015	0.1554
A375_SKIN	2	87513834	87517373	2	2.5559
A375_SKIN	2	87517374	89132095	565	0.1847
A375_SKIN	2	89132096	89159534	40	0.8257
A375_SKIN	2	89159535	89161615	5	1.8455
A375_SKIN	2	89161616	89184257	9	0.7878
A375_SKIN	2	89184258	89275096	47	1.4784
